City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,auki,-8.7676,160.7034,28.01,76,88,0.54,SB,1681254424
123,isangel,-19.55,169.2667,30.06,84,75,0.0,VU,1681254298
124,palmerston,-12.486,130.9833,26.99,93,40,3.09,AU,1681254424
125,taltal,-25.4,-70.4833,18.38,86,60,3.14,CL,1681254021
126,anshun,26.25,105.9333,15.5,96,68,3.65,CN,1681254424
127,hanna,51.6334,-111.9018,10.88,43,88,11.91,CA,1681253884
128,kulhudhuffushi,6.6221,73.07,27.91,75,7,3.04,MV,1681254425
129,vaini,-21.2,-175.2,29.09,79,40,6.17,TO,1681254060
130,chara,56.9064,118.2631,-14.91,81,27,0.7,RU,1681254150
131,port-cartier,50.0334,-66.8654,4.86,100,100,2.27,CA,1681254425
132,tiksi,71.6872,128.8694,-24.43,100,93,0.47,RU,1681254426
133,aloleng,16.1307,119.7824,26.37,77,100,3.21,PH,1681254426
134,cape town,-33.9258,18.4232,14.95,72,0,3.6,ZA,1681253924
135,tagusao,9.1924,117.8141,26.73,79,90,1.3,PH,1681254426
136,kharan,28.5833,65.4167,23.11,33,3,1.5,PK,1681254427
137,pravia,43.4906,-6.1508,13.16,67,0,2.06,ES,1681254427
138,marabba,12.35,32.1833,33.9,16,100,2.5,SD,1681254156
139,santa isabel do rio negro,-0.4139,-65.0192,24.35,96,99,1.05,BR,1681254427
140,saskylakh,71.9167,114.0833,-24.61,100,93,2.32,RU,1681254323
141,port-gentil,-0.7193,8.7815,26.98,94,20,1.03,GA,1681254428
142,barrow,71.2906,-156.7887,-21.99,84,100,4.12,US,1681254041
143,wencheng,33.0559,113.7978,12.41,64,4,1.84,CN,1681254429
144,awjilah,29.1081,21.2869,14.05,67,1,6.39,LY,1681254429
145,florianopolis,-27.6146,-48.5012,21.57,79,0,3.09,BR,1681254429
146,semey,50.4111,80.2275,0.08,53,30,3.07,KZ,1681254429
147,tonj,7.2737,28.6822,28.51,40,35,1.86,SS,1681254429
148,yerbogachen,61.2767,108.0108,-3.02,95,100,6.32,RU,1681254168
149,mbalmayo,3.5167,11.5,20.18,99,100,0.72,CM,1681254430
150,tuktoyaktuk,69.4541,-133.0374,-17.0,78,100,7.2,CA,1681254194
151,biak,-0.9131,122.8766,26.25,73,30,0.57,ID,1681254430
152,yeppoon,-23.1333,150.7333,20.88,46,14,0.67,AU,1681254430
153,barentin,49.5453,0.9552,9.97,83,100,8.37,FR,1681254430
154,arboletes,8.8505,-76.4269,26.86,87,100,4.45,CO,1681254431
155,gizo,-8.103,156.8419,26.03,85,100,3.49,SB,1681254431
156,rockport,28.0206,-97.0544,24.01,100,0,2.68,US,1681254431
157,fort-shevchenko,44.5086,50.263,15.87,47,100,13.12,KZ,1681254431
158,shangzhi,45.2167,127.9667,1.78,31,55,8.42,CN,1681254431
159,longyearbyen,78.2186,15.6401,-2.09,86,75,0.0,SJ,1681254143
160,zhangjiakou,40.81,114.8794,4.2,23,0,0.56,CN,1681254432
161,malanje,-9.5402,16.341,17.94,97,100,1.11,AO,1681254432
162,general roca,-39.0333,-67.5833,17.57,50,23,8.12,AR,1681253943
163,hurghada,27.2574,33.8129,19.48,33,23,4.03,EG,1681254432
164,bengkulu,-3.8004,102.2655,24.06,88,96,1.5,ID,1681254309
165,goderich,43.7501,-81.7165,12.17,74,100,7.57,CA,1681254432
166,cidreira,-30.1811,-50.2056,22.97,86,25,6.64,BR,1681254433
167,puri,19.8,85.85,27.29,80,0,3.44,IN,1681254433
168,brokopondo,4.75,-55.1667,26.72,77,100,3.29,SR,1681254433
169,douglas,41.3,-96.167,28.1,29,0,10.29,US,1681254433
170,luena,-11.7833,19.9167,16.59,96,99,1.37,AO,1681254434
171,yangambi,0.8102,24.4336,19.5,99,98,0.4,CD,1681254434
172,dabeiba,7.0017,-76.2672,24.54,98,100,1.11,CO,1681254093
173,nome,64.5011,-165.4064,-14.91,60,0,4.12,US,1681254434
174,ulaangom,49.9811,92.0667,-7.98,71,55,1.21,MN,1681254434
175,hobyo,5.3505,48.5268,28.07,74,22,5.8,SO,1681254435
176,hilo,19.7297,-155.09,26.85,68,0,5.66,US,1681254309
177,tevaitoa,-16.7833,-151.5,27.57,74,100,3.17,PF,1681254435
178,alice springs,-23.7,133.8833,20.75,52,94,2.57,AU,1681254327
179,saldanha,-33.0117,17.9442,10.03,78,54,3.84,ZA,1681254307
180,constitucion,-35.3333,-72.4167,13.67,93,89,3.73,CL,1681254407
181,esperance,-33.8667,121.9,16.08,83,1,5.04,AU,1681254427
182,makamba,-4.1348,29.804,16.34,87,98,1.16,BI,1681254436
183,port lincoln,-34.7333,135.8667,17.14,67,2,9.32,AU,1681254416
184,mar del plata,-38.0023,-57.5575,18.38,98,75,2.24,AR,1681253807
185,cap malheureux,-19.9842,57.6142,25.82,82,73,0.45,MU,1681254436
186,pisco,-13.7,-76.2167,24.03,78,0,7.72,PE,1681254436
